A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.262516643189713e23	-1.7182546510606715e15	1.5437446450033238e15	4.073961993422612e16	-8.052665004262442e15	-3.1763130207123755e15	-4.774193071802249e14	3.047880709310733e12
-1.718254651060671e15	3.5980159525958896e7	-4.637695519308678e6	-3.6937301270259154e8	1.5959708236365217e8	7.559766586856664e6	1.0054386206303405e7	-189228.62835594517
1.5437446450033238e15	-4.637695519308679e6	4.220909662383005e6	1.2454922916677453e8	-1.97331351626274e7	-6.813894844818629e6	-1.262132988775973e6	7590.55393974257
4.073961993422611e16	-3.6937301270259154e8	1.2454922916677456e8	6.824256248323605e9	-1.639171281229821e9	-1.8480003644196066e8	-1.005358295374954e8	1.5539479993545823e6
-8.052665004262444e15	1.5959708236365217e8	-1.9733135162627395e7	-1.6391712812298207e9	7.544155952040113e8	3.901930485567503e7	4.3235493151767105e7	-864372.9506240141
-3.1763130207123755e15	7.559766586856664e6	-6.813894844818629e6	-1.848000364419607e8	3.901930485567502e7	1.4249652520968113e7	1.9678984803168431e6	-15042.129433083805
-4.774193071802248e14	1.00543862063034e7	-1.262132988775973e6	-1.0053582953749539e8	4.3235493151767105e7	1.9678984803168436e6	2.861442699674014e6	-52376.443684274076
3.047880709310733e12	-189228.62835594514	7590.55393974257	1.5539479993545823e6	-864372.9506240141	-15042.129433083808	-52376.443684274076	1086.3846411205693
