A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.4971410677738406e23	-1.7959798103057906e14	1.7623668068839056e14	1.4603661644484672e15	-1.2112976315118445e15	-6.71021193390298e14	-4.367072920192698e13	-1.0246924244305049e13
-1.7959798103057906e14	1.5608746138686957e6	-324930.06968903256	-1.5657913059186913e7	6.580233909771667e6	805549.6448739432	430156.5983619791	57738.496550840864
1.7623668068839056e14	-324930.0696890326	403525.2591262229	3.9693055950048883e6	-1.426291107507803e6	-792116.689406348	-83712.80165350217	-11960.3652197782
1.460366164448467e15	-1.5657913059186915e7	3.9693055950048883e6	2.330953680063894e8	-5.85051140811787e7	-6.547173087949395e6	-4.346882470972971e6	-516852.4443986156
-1.2112976315118445e15	6.580233909771666e6	-1.4262911075078032e6	-5.850511408117871e7	3.1015535831312463e7	5.4297931825791625e6	1.7919228940838382e6	270682.75819381175
-6.710211933902981e14	805549.6448739435	-792116.6894063479	-6.547173087949397e6	5.4297931825791625e6	3.0178617242545555e6	195834.18199159586	45932.527898529406
-4.367072920192698e13	430156.5983619791	-83712.80165350216	-4.346882470972971e6	1.7919228940838387e6	195834.18199159586	118929.2307972718	15740.00403997828
-1.0246924244305049e13	57738.496550840864	-11960.3652197782	-516852.44439861545	270682.75819381175	45932.527898529406	15740.004039978281	2364.8715310235307
