A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.237718590502305e23	-1.644952139846222e15	1.5368681786113058e15	4.024005666533725e16	-7.480881575376359e15	-3.13478730579574e15	-4.571795273048761e14	-1.3291784212383502e13
-1.644952139846222e15	3.565712283746457e7	-4.472077874224574e6	-3.6486009475294966e8	1.5166854472766462e8	7.156577322309226e6	9.951561478857346e6	223638.7596630569
1.5368681786113058e15	-4.472077874224573e6	4.201827843596654e6	1.2338639679269783e8	-1.8352060223700125e7	-6.716119516471847e6	-1.209014587967414e6	-32918.41162275005
4.024005666533725e16	-3.648600947529496e8	1.2338639679269782e8	6.771277002243782e9	-1.5495121732278013e9	-1.8001704622569075e8	-9.905453830078855e7	-2.2975310361066465e6
-7.480881575376359e15	1.5166854472766462e8	-1.8352060223700125e7	-1.5495121732278013e9	6.858544375255209e8	3.565502938259016e7	4.115980559127475e7	908437.0545203118
-3.13478730579574e15	7.156577322309226e6	-6.716119516471846e6	-1.8001704622569078e8	3.565502938259016e7	1.3890743516365262e7	1.8727083662868997e6	53310.25957836517
-4.571795273048761e14	9.951561478857351e6	-1.2090145879674142e6	-9.905453830078852e7	4.115980559127476e7	1.8727083662869e6	2.8231934193510436e6	64103.1280267143
-1.3291784212383504e13	223638.75966305696	-32918.41162275005	-2.2975310361066456e6	908437.0545203119	53310.259578365185	64103.1280267143	1510.6611927173958
