A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.494084981886094e23	-1.8109289718012212e14	1.7562567995728075e14	1.496381164049266e15	-1.3183832115622888e15	-6.695894748579241e14	-4.627563237843526e13	8.424295610088158e10
-1.8109289718012212e14	1.5619969527171568e6	-326469.994749471	-1.5674296645938596e7	7.158170963793454e6	812167.0965582236	431126.83056702727	-3418.907426171649
1.7562567995728075e14	-326469.99474947096	402650.9194948644	4.0039984477733914e6	-1.5501509700497931e6	-789245.0380057524	-85833.55022787635	-93.14911393531933
1.4963811640492665e15	-1.5674296645938596e7	4.0039984477733914e6	2.3327682043896633e8	-6.3745289479307346e7	-6.706930331452966e6	-4.321896981517407e6	28452.47613611477
-1.3183832115622885e15	7.158170963793454e6	-1.550150970049793e6	-6.374528947930735e7	3.663945072977452e7	5.9095213505053995e6	1.9615935911955915e6	-16123.62874339642
-6.695894748579241e14	812167.0965582236	-789245.0380057523	-6.706930331452966e6	5.9095213505053995e6	3.011160331081734e6	207492.00150232323	-377.5718127812068
-4.627563237843526e13	431126.83056702727	-85833.55022787635	-4.321896981517407e6	1.9615935911955915e6	207492.00150232323	119163.67028321927	-953.3152562041744
8.424295610088153e10	-3418.907426171649	-93.14911393531936	28452.47613611477	-16123.628743396426	-377.5718127812069	-953.3152562041741	9.787196445712608
