A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.4967868855403754e23	-1.8170766706354653e14	1.7572979946901256e14	1.5001882297574202e15	-1.3570238659324658e15	-6.625544806047014e14	-4.7743503159864516e13	-3.0312506750748193e11
-1.8170766706354653e14	1.5659165568429246e6	-327244.6136289343	-1.5710375522805193e7	7.353051174217955e6	804927.1227589558	433498.6342317191	-598.5002981256523
1.7572979946901256e14	-327244.6136289343	403064.6795974719	4.0093379639626048e6	-1.5927214785093733e6	-780027.3101948573	-87005.1496031743	-768.651000495755
1.5001882297574202e15	-1.5710375522805193e7	4.0093379639626048e6	2.3350155657354254e8	-6.547660166876153e7	-6.641895380490931e6	-4.329169813590992e6	-1040.5151537819722
-1.357023865932466e15	7.353051174217955e6	-1.5927214785093733e6	-6.547660166876153e7	3.85879858741913e7	6.007978096942085e6	2.02558244101117e6	-3201.5172950348237
-6.625544806047015e14	804927.1227589558	-780027.3101948574	-6.641895380490931e6	6.007978096942088e6	2.9431249131417633e6	211447.0598709153	1341.958854240014
-4.774350315986452e13	433498.63423171896	-87005.14960317427	-4.329169813590992e6	2.02558244101117e6	211447.0598709153	120243.31652172496	-175.9278374101763
-3.0312506750748193e11	-598.5002981256523	-768.651000495755	-1040.5151537819715	-3201.5172950348233	1341.958854240014	-175.9278374101763	3.1935281368023882
