A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.239119268552502e23	-1.6569989561769738e15	1.5369902450626582e15	4.0390173521990936e16	-7.736177778381595e15	-3.1396992775070235e15	-4.5487102763328606e14	-2.0737807428953184e13
-1.6569989561769735e15	3.5749837747895725e7	-4.49907392627849e6	-3.661519817635566e8	1.5521449580096778e8	7.21609974658268e6	9.994025151229754e6	354602.08520946186
1.5369902450626582e15	-4.49907392627849e6	4.202628616179405e6	1.2374684158753449e8	-1.8945551555939596e7	-6.724441409531746e6	-1.2185469709110458e6	-51218.741166599706
4.039017352199094e16	-3.6615198176355654e8	1.2374684158753447e8	6.784677563739303e9	-1.585936869074405e9	-1.8054813897105217e8	-1.0014999908752224e8	-3.638899723540259e6
-7.736177778381596e15	1.5521449580096778e8	-1.8945551555939592e7	-1.585936869074405e9	7.148716955004437e8	3.669099253936664e7	4.2233968612338e7	1.483162936966456e6
-3.1396992775070235e15	7.21609974658268e6	-6.724441409531745e6	-1.8054813897105217e8	3.669099253936664e7	1.3911742332036516e7	1.8717672086343435e6	84319.02360281826
-4.5487102763328606e14	9.994025151229756e6	-1.2185469709110456e6	-1.0014999908752222e8	4.223396861233801e7	1.8717672086343437e6	2.836917533797301e6	101341.60269736477
-2.0737807428953188e13	354602.08520946186	-51218.74116659973	-3.6388997235402586e6	1.483162936966456e6	84319.02360281827	101341.60269736475	3735.5290492627155
