A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.232464114215443e23	-1.6372392638387252e15	1.536048772342457e15	4.028485608909295e16	-7.090901011288606e15	-3.184021324367079e15	-4.445725280267454e14	-8.460877737793752e13
-1.6372392638387258e15	3.5732621961578675e7	-4.457637367295135e6	-3.653099332786789e8	1.4244901981696236e8	7.232471291874278e6	9.994164787023393e6	1.67314863605428e6
1.5360487723424575e15	-4.457637367295137e6	4.200445101918184e6	1.2362263715953171e8	-1.74184198445881e7	-6.826315872636869e6	-1.1845982128580264e6	-206455.00311011853
4.028485608909295e16	-3.65309933278679e8	1.2362263715953171e8	6.769597745433983e9	-1.450653090453462e9	-1.8221691256559166e8	-9.962156594844754e7	-1.6792916951726023e7
-7.090901011288606e15	1.4244901981696236e8	-1.74184198445881e7	-1.4506530904534616e9	6.000540395283839e8	3.382861082578776e7	3.891164889782982e7	6.841792595769565e6
-3.184021324367079e15	7.232471291874277e6	-6.826315872636869e6	-1.8221691256559163e8	3.382861082578776e7	1.4287467426171824e7	1.865961536899794e6	384058.5939498991
-4.4457252802674544e14	9.994164787023393e6	-1.1845982128580264e6	-9.962156594844754e7	3.891164889782982e7	1.8659615368997941e6	2.8341818424658724e6	464119.102962072
-8.460877737793752e13	1.6731486360542793e6	-206455.00311011853	-1.6792916951726023e7	6.841792595769565e6	384058.593949899	464119.1029620721	79905.8770818837
