A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.5079164266035428e23	-1.9379563351272697e14	1.7669934550630562e14	1.6044323807669792e15	-1.7766336052685575e15	-6.674930387208164e14	-4.915707787230989e13	1.1610642267217058e12
-1.9379563351272697e14	1.5965324848243778e6	-342860.1199339093	-1.5906301409953827e7	9.505738811196024e6	858489.504496532	439050.20948701503	-23038.693636034634
1.7669934550630562e14	-342860.11993390945	406179.766397392	4.133708209043949e6	-2.087742367271688e6	-784361.6845335689	-89518.01518598919	574.3461610494693
1.6044323807669795e15	-1.5906301409953827e7	4.1337082090439484e6	2.3437026275410408e8	-8.435194791127725e7	-7.1034990631789835e6	-4.365364518160703e6	197549.85896309195
-1.7766336052685572e15	9.505738811196024e6	-2.087742367271688e6	-8.435194791127722e7	6.294244439475882e7	7.865888362056961e6	2.5960035783275785e6	-140881.36032155136
-6.674930387208162e14	858489.504496532	-784361.684533569	-7.103499063178981e6	7.865888362056963e6	2.9650520754860425e6	217714.43682533226	-5140.386342055418
-4.915707787230989e13	439050.209487015	-89518.01518598916	-4.365364518160703e6	2.5960035783275785e6	217714.43682533232	120928.41694138956	-6396.550282452639
1.1610642267217058e12	-23038.693636034634	574.3461610494687	197549.85896309195	-140881.36032155136	-5140.386342055418	-6396.550282452639	400.4379066296337
