A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.349255459652162e23	-2.007138012081382e15	1.564222718665544e15	4.321181228872541e16	-1.1907161955796568e16	-3.2213355661293975e15	-5.629287503954846e14	1.413665566928183e13
-2.007138012081382e15	3.753739379766328e7	-5.291637731291768e6	-3.919311308343412e8	2.1207881909273633e8	8.866666314664109e6	1.0519972430414962e7	-696727.3383536916
1.5642227186655438e15	-5.291637731291768e6	4.279215817373245e6	1.3041996192265922e8	-2.879083989969726e7	-6.915621811887441e6	-1.4629607431683904e6	33099.89728098754
4.3211812288725416e16	-3.9193113083434117e8	1.3041996192265925e8	7.091111779865063e9	-2.207743539018535e9	-1.9572183134365907e8	-1.0760750797526635e8	5.776525534644046e6
-1.1907161955796568e16	2.120788190927363e8	-2.879083989969726e7	-2.207743539018535e9	1.268462964807556e9	5.680673542688825e7	5.783521119492019e7	-4.076228628547956e6
-3.221335566129397e15	8.866666314664109e6	-6.915621811887442e6	-1.9572183134365907e8	5.680673542688828e7	1.4452323248399602e7	2.3646825236799163e6	-70218.23103168544
-5.629287503954847e14	1.0519972430414962e7	-1.4629607431683908e6	-1.0760750797526634e8	5.78352111949202e7	2.3646825236799163e6	2.995760599761202e6	-192664.14837410022
1.413665566928183e13	-696727.3383536915	33099.89728098754	5.776525534644047e6	-4.076228628547956e6	-70218.23103168544	-192664.14837410022	14396.253438486467
