A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.5133715384279835e23	-1.997376161818401e14	1.7789483718945206e14	1.661442596651851e15	-1.9447959302475532e15	-6.782357764261376e14	-5.093790165216486e13	2.7367357322397534e12
-1.9973761618184006e14	1.611588701993496e6	-350939.17036825465	-1.5980962516577194e7	1.0369327610648245e7	895797.170409707	444804.96508907265	-38922.654226720464
1.7789483718945206e14	-350939.1703682546	408435.7925956977	4.198644102852514e6	-2.303064198329305e6	-799457.498883894	-92179.7601751861	2983.1995312310073
1.661442596651851e15	-1.5980962516577194e7	4.198644102852514e6	2.341655422833063e8	-9.184611524695551e7	-7.4477292300768085e6	-4.406377207481048e6	346340.13969620096
-1.944795930247553e15	1.0369327610648245e7	-2.303064198329305e6	-9.184611524695551e7	7.39000143900875e7	8.71750387063064e6	2.8416381429494563e6	-254988.32457852454
-6.782357764261376e14	895797.170409707	-799457.4988838938	-7.4477292300768085e6	8.717503870630644e6	3.0499286026500575e6	228404.05146463777	-12268.441480695297
-5.093790165216486e13	444804.9650890726	-92179.7601751861	-4.406377207481048e6	2.8416381429494563e6	228404.05146463777	122967.07108787066	-10819.144961185584
2.7367357322397534e12	-38922.654226720464	2983.1995312310073	346340.13969620096	-254988.32457852454	-12268.441480695301	-10819.144961185588	1046.4879518366015
