A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.5185460603817753e23	-1.9331146524500053e14	1.7687070540014838e14	1.5845795181272245e15	-1.8508873730201188e15	-6.72278744576129e14	-5.0827393894262125e13	-1.5493756395463513e12
-1.9331146524500053e14	1.6054046131373516e6	-342288.431493645	-1.6019673780906864e7	9.881485530554038e6	856401.5074585208	445496.691651753	107.33286313109694
1.7687070540014838e14	-342288.43149364507	407283.4230225652	4.1334669727927214e6	-2.151933965841257e6	-785218.9247367288	-93498.60285193093	-3696.7626614755254
1.5845795181272245e15	-1.6019673780906864e7	4.1334669727927204e6	2.358775059647921e8	-8.762315910825649e7	-7.0163671025563935e6	-4.46584867023093e6	-30887.04196229278
-1.8508873730201188e15	9.881485530554036e6	-2.1519339658412565e6	-8.762315910825646e7	6.788580350765987e7	8.1953041102493685e6	2.7234230554959676e6	-1585.1405418887598
-6.722787445761289e14	856401.5074585209	-785218.9247367288	-7.016367102556394e6	8.1953041102493685e6	2.9865675463299197e6	225128.10448413045	6860.352534935876
-5.0827393894262125e13	445496.69165175286	-93498.60285193099	-4.465848670230931e6	2.7234230554959676e6	225128.1044841305	123754.737110645	14.774398816345117
-1.5493756395463513e12	107.3328631310972	-3696.762661475527	-30887.04196229278	-1585.1405418887566	6860.352534935876	14.774398816345013	51.06388675006621
