A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.52712256730352e23	-2.3465862337146975e15	1.6070013196293455e15	4.643289350989286e16	-1.7667768690638292e16	-3.30195347642153e15	-6.54468834182139e14	4.554109434101473e13
-2.3465862337146975e15	3.9624723615584515e7	-6.06721423209724e6	-4.198985837670508e8	2.8668130887141603e8	1.038845989724771e7	1.1054587838755095e7	-1.4126559949567157e6
1.6070013196293455e15	-6.06721423209724e6	4.396140489676634e6	1.3833907725872868e8	-4.235377435364356e7	-7.107884205243343e6	-1.6673027840912533e6	107179.83933856442
4.643289350989286e16	-4.1989858376705074e8	1.3833907725872868e8	7.449768892745953e9	-3.0235486847121105e9	-2.100544144626534e8	-1.1479214228146295e8	1.2399192861667702e7
-1.766776869063829e16	2.8668130887141603e8	-4.235377435364357e7	-3.0235486847121105e9	2.1840797954931164e9	8.340796070794427e7	7.801767453460042e7	-1.048669426271001e7
-3.30195347642153e15	1.0388459897247707e7	-7.107884205243344e6	-2.100544144626534e8	8.340796070794429e7	1.4811393762683721e7	2.7773566272789e6	-212812.61635676966
-6.544688341821391e14	1.1054587838755095e7	-1.667302784091253e6	-1.1479214228146295e8	7.801767453460044e7	2.7773566272789002e6	3.130491201310957e6	-390782.8520160547
4.554109434101471e13	-1.4126559949567157e6	107179.83933856442	1.2399192861667702e7	-1.048669426271001e7	-212812.61635676963	-390782.8520160547	54397.227750634236
