A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.252228887785505e23	-1.77250860750333e15	1.5383548088214778e15	4.126251610272381e16	-9.416068077522146e15	-3.149531575059864e15	-4.9490613800072756e14	-1.4941247047451947e13
-1.7725086075033295e15	3.627042454465576e7	-4.757119764961084e6	-3.744928565513405e8	1.7981159370604208e8	7.73738835023478e6	1.0152249169569828e7	46982.659518068314
1.538354808821478e15	-4.757119764961084e6	4.208080162218811e6	1.257309789529127e8	-2.2849265421751827e7	-6.736309861775848e6	-1.3067951652736636e6	-39142.78086331943
4.126251610272381e16	-3.744928565513405e8	1.257309789529127e8	6.877459144711869e9	-1.847680427819144e9	-1.8437833975487036e8	-1.0275720407118325e8	-1.116903102339636e6
-9.416068077522148e15	1.7981159370604208e8	-2.284926542175184e7	-1.8476804278191438e9	9.431439364524912e8	4.436537809748854e7	4.9082998560665175e7	82315.74345554622
-3.1495315750598645e15	7.7373883502347795e6	-6.736309861775849e6	-1.8437833975487033e8	4.436537809748854e7	1.3958602009823995e7	2.0574486223806168e6	54124.76581783542
-4.9490613800072756e14	1.0152249169569828e7	-1.3067951652736636e6	-1.0275720407118328e8	4.908299856066517e7	2.0574486223806168e6	2.8823612348111304e6	17184.07577436502
-1.494124704745195e13	46982.65951806831	-39142.78086331943	-1.116903102339636e6	82315.74345554624	54124.765817835425	17184.075774365014	876.7953024074583
