A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.240573730846051e23	-1.6758510906529028e15	1.5373447629285892e15	4.039286548806403e16	-7.824264864865682e15	-3.1320995924138385e15	-4.638379259569605e14	-4.2505409128500815e12
-1.6758510906529035e15	3.574824519842982e7	-4.540258428508654e6	-3.6647825473668814e8	1.5679445043508473e8	7.286778241684146e6	9.992819013168462e6	-14122.239333605596
1.537344762928589e15	-4.540258428508654e6	4.203358317005745e6	1.2369151588811514e8	-1.915966270315404e7	-6.709706814374343e6	-1.2322863353640246e6	-11194.672785846895
4.039286548806404e16	-3.664782547366882e8	1.2369151588811514e8	6.787030047962617e9	-1.6063269008580773e9	-1.8083029437565804e8	-9.990565296541798e7	-101418.76990579322
-7.824264864865679e15	1.5679445043508473e8	-1.9159662703154035e7	-1.6063269008580773e9	7.320910040968306e8	3.7363466387400694e7	4.2546715671853244e7	-114136.52781067726
-3.132099592413838e15	7.286778241684144e6	-6.7097068143743435e6	-1.8083029437565798e8	3.73634663874007e7	1.3878095468934413e7	1.8938502336930395e6	14115.421255468342
-4.6383792595696056e14	9.992819013168462e6	-1.2322863353640246e6	-9.9905652965418e7	4.254671567185325e7	1.8938502336930395e6	2.841479339636778e6	-2371.5830366934824
-4.250540912850083e12	-14122.239333605597	-11194.672785846895	-101418.76990579319	-114136.52781067725	14115.421255468342	-2371.583036693483	118.74417099303697
