A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.238434636072401e23	-1.6519603703108808e15	1.5369389910962625e15	4.033762886460799e16	-7.628153099025416e15	-3.1374401739275925e15	-4.4161279983867825e14	-1.8984581475786723e13
-1.6519603703108805e15	3.571658243729656e7	-4.488165092569466e6	-3.656879139257304e8	1.5369009802898875e8	7.190049933998044e6	9.93549757970469e6	324947.89481459826
1.5369389910962628e15	-4.488165092569465e6	4.202323831285343e6	1.236299813187113e8	-1.8694152424603634e7	-6.720057795648259e6	-1.1815321127928037e6	-46782.28302815915
4.033762886460799e16	-3.656879139257304e8	1.2362998131871133e8	6.781092509637998e9	-1.570055329552294e9	-1.8030461161391e8	-9.868252838934903e7	-3.328185024758865e6
-7.628153099025414e15	1.5369009802898875e8	-1.869415242460363e7	-1.570055329552294e9	7.020379972345488e8	3.622872635572992e7	4.158493586460179e7	1.3488992215058124e6
-3.1374401739275925e15	7.190049933998042e6	-6.720057795648259e6	-1.8030461161391002e8	3.622872635572992e7	1.3899212709281685e7	1.8096806435820574e6	77261.79132733066
-4.416127998386782e14	9.93549757970469e6	-1.1815321127928037e6	-9.868252838934901e7	4.158493586460179e7	1.8096806435820574e6	2.8091573233055836e6	92356.12101384874
-1.8984581475786723e13	324947.89481459826	-46782.28302815914	-3.3281850247588665e6	1.3488992215058126e6	77261.79132733065	92356.12101384874	3133.1777313081816
