A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.238803537579005e23	-1.6629476412522232e15	1.536758065793312e15	4.034734864958123e16	-7.75326406042627e15	-3.1348492577984735e15	-4.525432859169593e14	-9.370957770211693e12
-1.6629476412522232e15	3.571960188441913e7	-4.511558698566749e6	-3.659573053354364e8	1.5566316231222835e8	7.236634087930291e6	9.939409578879211e6	108415.79259163255
1.5367580657933122e15	-4.511558698566749e6	4.201755982266684e6	1.2361197124939944e8	-1.8985673301299397e7	-6.714886360849268e6	-1.1994262015384617e6	-23734.96959179006
4.034734864958123e16	-3.6595730533543634e8	1.2361197124939944e8	6.782375838092405e9	-1.5930047310237708e9	-1.8060286241644058e8	-9.879713268331404e7	-1.2536520106330866e6
-7.75326406042627e15	1.5566316231222835e8	-1.8985673301299397e7	-1.5930047310237708e9	7.213600464068489e8	3.695014676110529e7	4.209103713943609e7	412714.30533177836
-3.1348492577984735e15	7.236634087930292e6	-6.714886360849265e6	-1.8060286241644055e8	3.6950146761105284e7	1.3892481304937424e7	1.8510116835669822e6	35342.92772854041
-4.525432859169593e14	9.939409578879213e6	-1.1994262015384615e6	-9.879713268331404e7	4.2091037139436096e7	1.8510116835669824e6	2.8131066373874485e6	32122.185949873878
-9.370957770211693e12	108415.79259163258	-23734.96959179006	-1.2536520106330863e6	412714.3053317784	35342.9277285404	32122.185949873878	470.26298252048673
