A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.4948194546772978e23	-1.8224320438702922e14	1.7574429957457353e14	1.5057438834107275e15	-1.3484964297037295e15	-6.699729283578076e14	-4.617650079566813e13	2.872679071092485e11
-1.8224320438702922e14	1.565083305943389e6	-327979.3470781466	-1.5693508513372816e7	7.316818435447563e6	817438.2401109711	433543.5695578048	-5924.589886637021
1.7574429957457353e14	-327979.34707814653	402934.57664784446	4.0144852171276254e6	-1.5870495484427228e6	-789869.6328611872	-85823.26295158293	173.5322086664886
1.5057438834107275e15	-1.5693508513372818e7	4.014485217127625e6	2.3334111367402574e8	-6.5134052500210576e7	-6.750158714639075e6	-4.363540312315644e6	51501.73335336268
-1.3484964297037295e15	7.3168184354475625e6	-1.5870495484427228e6	-6.51340525002106e7	3.81795611793586e7	6.045107975650613e6	2.0102102193245294e6	-28380.090860445114
-6.699729283578076e14	817438.2401109713	-789869.6328611872	-6.750158714639077e6	6.045107975650613e6	3.0131183415891393e6	207076.77815168837	-1287.7996734714573
-4.617650079566813e13	433543.56955780473	-85823.26295158295	-4.363540312315644e6	2.0102102193245296e6	207076.7781516884	120279.98229081531	-1654.8006587782013
2.872679071092485e11	-5924.589886637021	173.53220866648851	51501.73335336267	-28380.090860445114	-1287.7996734714575	-1654.8006587782013	26.46847710052992
