A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.261023899040909e23	-1.7137774024110745e15	1.5433541175859375e15	4.068819399608183e16	-8.004984849591785e15	-3.1774158055180485e15	-4.8452336484086106e14	2.8372948099064995e12
-1.7137774024110748e15	3.595664952603043e7	-4.627129365648199e6	-3.6900692877421075e8	1.5892948001382652e8	7.544490974567171e6	1.007566493691565e7	-180322.37772883513
1.5433541175859378e15	-4.627129365648199e6	4.219787216926482e6	1.244255700880068e8	-1.9619538023474768e7	-6.8176501807019e6	-1.2905044742097363e6	7051.272031201346
4.068819399608183e16	-3.690069287742107e8	1.244255700880068e8	6.8188496031041565e9	-1.6318926228206117e9	-1.847231709625163e8	-1.016613193549874e8	1.4772939295458132e6
-8.004984849591786e15	1.5892948001382652e8	-1.9619538023474768e7	-1.6318926228206117e9	7.486591064204867e8	3.881629096012944e7	4.316035310491139e7	-821200.4250350791
-3.177415805518049e15	7.544490974567169e6	-6.8176501807019e6	-1.8472317096251634e8	3.881629096012944e7	1.4262628846756794e7	2.001031437615951e6	-14070.363020650791
-4.8452336484086106e14	1.0075664936915645e7	-1.2905044742097366e6	-1.016613193549874e8	4.316035310491138e7	2.0010314376159513e6	2.874833874234599e6	-49902.772186070244
2.8372948099064995e12	-180322.3777288351	7051.272031201344	1.4772939295458132e6	-821200.4250350792	-14070.363020650795	-49902.77218607024	988.7864227566798
