A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.257462606042884e23	-1.7093787660937532e15	1.5423517823755685e15	4.065436359466395e16	-7.982731830896257e15	-3.175127020152177e15	-4.714965833923727e14	2.1248584986884666e12
-1.709378766093753e15	3.592503209098289e7	-4.61729757613968e6	-3.6866394664136636e8	1.586876526244225e8	7.5226734585304735e6	1.0045593858588517e7	-165271.40921350537
1.5423517823755678e15	-4.617297576139682e6	4.21700178591372e6	1.243465867412717e8	-1.9563957769751426e7	-6.810211437963741e6	-1.2529207951390452e6	5185.222931374385
4.065436359466395e16	-3.6866394664136636e8	1.243465867412717e8	6.815928845856703e9	-1.629110709441465e9	-1.8448915006276804e8	-1.0063434488422313e8	1.328812351161697e6
-7.982731830896255e15	1.5868765262442252e8	-1.9563957769751422e7	-1.629110709441465e9	7.470022905586017e8	3.869314746278283e7	4.300817821385153e7	-756726.4332172883
-3.1751270201521775e15	7.5226734585304735e6	-6.81021143796374e6	-1.8448915006276804e8	3.869314746278283e7	1.4247522108676955e7	1.9426781214505285e6	-11183.292629326676
-4.714965833923728e14	1.0045593858588517e7	-1.2529207951390455e6	-1.0063434488422312e8	4.300817821385153e7	1.9426781214505285e6	2.8606901470528175e6	-45639.74467938132
2.1248584986884678e12	-165271.40921350537	5185.222931374385	1.328812351161697e6	-756726.4332172883	-11183.292629326676	-45639.74467938132	846.4702637128261
