omega_b	omega_cdm	n_s	A_s	tau_reio	h	M_ncdm
2.308160371814112365e+08	-5.786112719241329283e+07	3.927513748009685893e+06	1.461418557857139000e+15	-6.499783742155336775e+06	-1.547535295423334837e+07	-1.454365141822323203e+06
-5.786112719241329283e+07	3.075395724037515372e+07	-1.397969204460849287e+06	-1.203567144140625000e+15	5.353043608166617341e+06	6.511838804964041337e+06	6.072090628667265410e+05
3.927513748009686824e+06	-1.397969204460849520e+06	3.956475319764824817e+05	1.732178715821469062e+14	-7.724408480330858147e+05	-3.194483379805912264e+05	-2.799671637809292224e+04
1.461418557857139250e+15	-1.203567144140625500e+15	1.732178715821469062e+14	1.490714276409556368e+23	-6.628987468608070000e+14	-1.780896454317638750e+14	-1.492402394429883789e+13
-6.499783742155335844e+06	5.353043608166617341e+06	-7.724408480330858147e+05	-6.628987468608072500e+14	2.958140681003228296e+06	7.925369563297554851e+05	6.639994426409890002e+04
-1.547535295423334837e+07	6.511838804964041337e+06	-3.194483379805911682e+05	-1.780896454317639062e+14	7.925369563297556015e+05	1.542436922376086237e+06	1.452617433749960910e+05
-1.454365141822323436e+06	6.072090628667265410e+05	-2.799671637809291860e+04	-1.492402394429883789e+13	6.639994426409890002e+04	1.452617433749960910e+05	1.371382769191024818e+04
