omega_b	omega_cdm	n_s	A_s	tau_reio	h	T_ncdm
4.899574680099709e9	-1.1433972059204626e9	8.710660206203894e7	3.270019430020594e16	-1.459123970225575e8	-3.2006680320286477e8	-9.577441502696916e6
-1.1433972059204626e9	5.66628893934538e8	-2.9004990640730124e7	-2.3722816259094564e16	1.0585238387394497e8	1.2437241130500622e8	-2.1328102435078043e6
8.710660206203894e7	-2.9004990640730124e7	8.563164287372593e6	3.723554844604681e15	-1.6657414609219793e7	-6.76027910353113e6	-767949.1689751162
3.270019430020594e16	-2.3722816259094564e16	3.723554844604681e15	3.0335622912870214e24	-1.3533441665258848e16	-3.672146904371084e15	-3.7780624066658006e14
-1.459123970225575e8	1.0585238387394495e8	-1.6657414609219793e7	-1.3533441665258848e16	6.059261394295871e7	1.6394567394107608e7	1.6859020934144338e6
-3.2006680320286477e8	1.2437241130500624e8	-6.76027910353113e6	-3.672146904371084e15	1.6394567394107608e7	3.0829580127923943e7	84403.50826935796
-9.577441502696924e6	-2.132810243507806e6	-767949.1689751163	-3.7780624066658006e14	1.6859020934144335e6	84403.5082693575	2.124992271760416e6
