omega_b	omega_cdm	n_s	A_s	tau_reio	h	T_ncdm
2.2568631649553373e8	-3.1122735622770645e7	3.755027531695214e6	1.0962712045567176e15	-4.887834047552855e6	-1.2357447081941428e7	-7.604510582340217e6
-3.1122735622770645e7	9.678238598796107e6	-796043.4151790477	-5.423285928999798e14	2.418074049306408e6	2.8454211789063825e6	2.198929609542936e6
3.755027531695215e6	-796043.4151790477	397115.10909044876	1.727295339309153e14	-772230.9762576695	-196414.84776528718	-164573.60415875708
1.096271204556718e15	-5.423285928999798e14	1.727295339309153e14	1.1993297782556296e23	-5.3467593454688656e14	-7.696162487055105e13	-1.1105607593153819e14
-4.887834047552853e6	2.4180740493064085e6	-772230.9762576695	-5.346759345468866e14	2.393949467329388e6	343512.42925821553	495116.2684203608
-1.2357447081941426e7	2.8454211789063825e6	-196414.8477652872	-7.696162487055105e13	343512.4292582156	1.0014316210784832e6	668959.7139873623
-7.604510582340217e6	2.198929609542937e6	-164573.6041587571	-1.1105607593153819e14	495116.26842036087	668959.7139873623	506552.35912334314
