omega_b	omega_cdm	n_s	A_s	tau_reio	H_0	M_ncdm
5671443789.360263	-825671526.528716	126220320.53453358	4.427529949535125e+16	-186582833.57566243	-2423917.7654048484	-52254896.531085335
-825671526.5287157	272131209.54248977	-14552287.077601552	-5958876296926031.0	29383829.322180394	631307.1576361565	12001188.825119898
126220320.53453356	-14552287.077601552	4507586.09159661	1756749632590461.0	-7224197.607294565	-48466.032416486436	-1140285.7048549918
4.427529949535127e+16	-5958876296926031.0	1756749632590461.2	8.574492342087872e+23	-3462910675723010.5	-19365935285298.89	-487967005152639.56
-186582833.5756625	29383829.322180394	-7224197.607294566	-3462910675723010.5	14646739.36143031	77249.6009338224	1728597.9283083975
-2423917.765404848	631307.1576361563	-48466.032416486414	-19365935285298.887	77249.6009338224	1847.057880856894	40971.396776500325
-52254896.53108532	12001188.825119898	-1140285.7048549918	-487967005152639.56	1728597.9283083985	40971.39677650032	990461.815407327
