omega_b	omega_cdm	n_s	A_s	tau_reio	h	M_ncdm
6.645915786469602585e+09	-1.423485681598396778e+09	1.206687310181112438e+08	3.954672298018516000e+16	-1.780315285247879028e+08	-3.570890820561790466e+08	-3.316959532261035219e+07
-1.423485681598397017e+09	5.929577881924632788e+08	-1.666008356685617752e+07	-6.836492564979629000e+15	3.296840001270167530e+07	1.394817069187756181e+08	1.295300098033948243e+07
1.206687310181112289e+08	-1.666008356685617380e+07	4.116483529998425394e+06	1.515641263449394750e+15	-6.641121142879437655e+06	-4.356189018148346804e+06	-4.018039412089575198e+05
3.954672298018515200e+16	-6.836492564979629000e+15	1.515641263449394750e+15	7.202238798130530180e+23	-3.127140901976799000e+15	-1.611400010974701000e+15	-1.525738431156764688e+14
-1.780315285247879028e+08	3.296840001270167157e+07	-6.641121142879437655e+06	-3.127140901976799500e+15	1.392186164392626099e+07	7.030554076680872589e+06	6.175224233158048009e+05
-3.570890820561790466e+08	1.394817069187755883e+08	-4.356189018148346804e+06	-1.611400010974701000e+15	7.030554076680873521e+06	3.500559730175114423e+07	3.363350154568107333e+06
-3.316959532261035591e+07	1.295300098033948243e+07	-4.018039412089575198e+05	-1.525738431156765000e+14	6.175224233158046845e+05	3.363350154568107333e+06	3.302162160527547239e+05
