omega_b	omega_cdm	n_s	A_s	tau_reio	h	T_ncdm
5.663562412834307e9	-7.958069672276031e8	9.97974954850433e7	2.904674266919021e16	-1.3089318042069577e8	-2.5308009631678224e8	-1.130772540716611e8
-7.958069672276033e8	2.5024473378850436e8	-6.10256711898053e6	-1.9683978597190608e15	1.029259236825729e7	7.41020821171598e7	3.1318432592538666e7
9.97974954850433e7	-6.10256711898053e6	3.8543629706105627e6	1.371751628781993e15	-6.092610953153831e6	-1.7458878460060072e6	-1.0649423123439092e6
2.9046742669190196e16	-1.968397859719061e15	1.3717516287819935e15	6.170059944219921e23	-2.7083686502595225e15	-4.1822786763287144e14	-3.6029834945901175e14
-1.3089318042069577e8	1.029259236825729e7	-6.092610953153832e6	-2.7083686502595225e15	1.21168996255787e7	1.7781679244068991e6	1.4402040853803207e6
-2.530800963167822e8	7.410208211715981e7	-1.745887846006007e6	-4.1822786763287144e14	1.7781679244068982e6	2.3911653115345553e7	1.03576439823322e7
-1.130772540716611e8	3.1318432592538662e7	-1.0649423123439092e6	-3.6029834945901175e14	1.440204085380321e6	1.0357643982332202e7	4.698895777526366e6
