omega_b	omega_cdm	n_s	A_s	tau_reio	h	T_ncdm
7.550159023500856e9	-1.739987883864161e9	1.4080930640949553e8	4.7415096684418376e16	-2.137088116532215e8	-4.254286743621242e8	6.971155468157145e7
-1.739987883864161e9	7.044487922130227e8	-2.5121791584127713e7	-1.0521663899426512e16	4.924328491326033e7	1.628245170296979e8	-3.474691340191917e7
1.4080930640949553e8	-2.5121791584127706e7	4.419719119812974e6	1.61374556433102e15	-7.129520710794099e6	-6.313115950581036e6	530536.0456362617
4.741509668441837e16	-1.0521663899426514e16	1.6137455643310195e15	7.548237550018653e23	-3.3088357598182705e15	-2.4547365108337475e15	2.359318805732985e14
-2.1370881165322152e8	4.9243284913260326e7	-7.129520710794096e6	-3.3088357598182705e15	1.4803535085595923e7	1.0856344698024811e7	-1.1455848552000977e6
-4.254286743621243e8	1.628245170296979e8	-6.313115950581037e6	-2.4547365108337475e15	1.0856344698024813e7	3.951379193157828e7	-8.117289526105543e6
6.971155468157145e7	-3.474691340191916e7	530536.0456362616	2.3593188057329856e14	-1.1455848552000974e6	-8.117289526105543e6	1.8854446285738265e6
