omega_b	omega_cdm	n_s	A_s	tau_reio	h	T_ncdm
7.7055326323818035e9	-1.8071148867889953e9	1.4426981153196502e8	4.8808739749026024e16	-2.197615952939093e8	-4.371886683043345e8	8.656445221760036e7
-1.8071148867889953e9	7.38492154289453e8	-2.6550441680249125e7	-1.1142118342774132e16	5.204742475825021e7	1.691003709128654e8	-4.172661158573439e7
1.4426981153196508e8	-2.6550441680249125e7	4.496373744863443e6	1.6438676833595602e15	-7.247464831649519e6	-6.61327430285906e6	805591.1720399776
4.8808739749026024e16	-1.1142118342774132e16	1.6438676833595602e15	7.683541077363845e23	-3.3604743746167985e15	-2.587620969597648e15	3.488240221023397e14
-2.1976159529390925e8	5.2047424758250214e7	-7.247464831649519e6	-3.3604743746167985e15	1.5012507787244037e7	1.142645140557454e7	-1.6284991398207934e6
-4.371886683043346e8	1.6910037091286546e8	-6.613274302859059e6	-2.5876209695976475e15	1.1426451405574542e7	4.06279871791879e7	-9.743417052507607e6
8.656445221760036e7	-4.17266115857344e7	805591.1720399779	3.488240221023397e14	-1.6284991398207934e6	-9.743417052507607e6	2.55009607057434e6
