A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.256688431036941e23	-1.7712088340684118e15	1.5407892686774478e15	4.116314111396472e16	-9.080426180653666e15	-3.1430609728123545e15	-4.929352284089265e14	-3.862855336332991e12
-1.7712088340684118e15	3.62209458940386e7	-4.755219716740985e6	-3.736085458552471e8	1.746871845105056e8	7.716621173280355e6	1.0133439062789815e7	-159120.02565853496
1.540789268677448e15	-4.755219716740986e6	4.214069010053402e6	1.2548294109616806e8	-2.210426939014564e7	-6.731588061875583e6	-1.3018791292934981e6	-10875.865434352398
4.116314111396473e16	-3.7360854585524714e8	1.2548294109616804e8	6.866940649624917e9	-1.7977227228360715e9	-1.841754939310416e8	-1.0218659712292661e8	976413.8968386027
-9.080426180653666e15	1.746871845105056e8	-2.2104269390145645e7	-1.7977227228360715e9	8.944275867310066e8	4.3074833757174276e7	4.752264839048094e7	-868899.47298503
-3.1430609728123545e15	7.716621173280355e6	-6.731588061875581e6	-1.841754939310416e8	4.307483375717428e7	1.3928508994547635e7	2.0306945035466803e6	9497.499906319363
-4.929352284089265e14	1.0133439062789815e7	-1.3018791292934981e6	-1.0218659712292662e8	4.752264839048094e7	2.0306945035466806e6	2.8806644360102355e6	-41905.006202426775
-3.8628553363329917e12	-159120.02565853493	-10875.865434352394	976413.8968386027	-868899.47298503	9497.49990631936	-41905.006202426775	1181.3255397123323
