A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.4998769707598146e23	-1.873285733464782e14	1.7632492182347775e14	1.5512588443091035e15	-1.509476685752997e15	-6.722818720631832e14	-4.697751618544545e13	9.253686813364485e11
-1.873285733464782e14	1.5780948723512127e6	-334583.92689492897	-1.5772879678350557e7	8.1460041521730255e6	840248.9428384191	437256.815817654	-15677.387414873368
1.7632492182347778e14	-334583.92689492897	404465.4482300845	4.0678636483206865e6	-1.7800835163723985e6	-792553.365747629	-86679.72758878596	885.6010064692845
1.5512588443091038e15	-1.5772879678350557e7	4.0678636483206865e6	2.3362499305571178e8	-7.242985075019555e7	-6.9551271220127195e6	-4.37741519242163e6	139143.0221121989
-1.5094766857529972e15	8.146004152173025e6	-1.7800835163723985e6	-7.242985075019556e7	4.682062281338878e7	6.7669091324074855e6	2.237558800047545e6	-82470.01610989419
-6.722818720631835e14	840248.9428384192	-792553.3657476286	-6.95512712201272e6	6.766909132407485e6	3.02365719474558e6	210669.53817689314	-4148.065614967421
-4.697751618544545e13	437256.815817654	-86679.72758878593	-4.377415192421631e6	2.237558800047545e6	210669.5381768931	121474.87190185678	-4384.871699853474
9.253686813364485e11	-15677.387414873363	885.6010064692841	139143.02211219887	-82470.01610989418	-4148.065614967421	-4384.871699853474	176.61720808969733
