A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.5183309326144464e23	-2.039208359021451e14	1.783915179174958e14	1.6968125643949328e15	-2.1307240521958568e15	-6.80442701019704e14	-5.1346314597705234e13	3.3491753736008076e12
-2.039208359021451e14	1.6231889117596685e6	-356399.45980521734	-1.6067759674622303e7	1.1310913003729155e7	914525.6878856556	444583.8777081134	-46260.36588372032
1.7839151791749578e14	-356399.45980521734	409764.7809789709	4.243537807981501e6	-2.52410932330593e6	-801650.5836067213	-92603.59664163846	3624.303206289789
1.6968125643949328e15	-1.6067759674622305e7	4.243537807981503e6	2.348603865088577e8	-1.0011616421400931e8	-7.605844275777028e6	-4.39385056075619e6	410616.6178398316
-2.1307240521958575e15	1.1310913003729157e7	-2.52410932330593e6	-1.0011616421400931e8	8.717856017527339e7	9.550752791051328e6	3.0726179667700287e6	-328451.3888037958
-6.80442701019704e14	914525.6878856559	-801650.5836067213	-7.60584427577703e6	9.550752791051326e6	3.0597420194633673e6	230229.19987674413	-15013.683909572124
-5.1346314597705234e13	444583.8777081134	-92603.59664163846	-4.393850560756191e6	3.072617966770028e6	230229.19987674413	121998.46262310495	-12764.626458572227
3.349175373600809e12	-46260.365883720326	3624.303206289787	410616.6178398316	-328451.3888037958	-15013.683909572123	-12764.626458572227	1469.4021480481592
