A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.4971332736380396e23	-1.8265891980627984e14	1.7574239294964016e14	1.50715313130256e15	-1.3858967688566832e15	-6.627413935153695e14	-4.613060256271805e13	-9.138173856552379e10
-1.8265891980627984e14	1.5676083989714459e6	-328405.29200807074	-1.5720670958038975e7	7.505917127982733e6	809218.3412391293	432149.30496453407	-3100.1985223854376
1.7574239294964012e14	-328405.2920080707	403197.90325809986	4.0189806015753737e6	-1.6267875276741579e6	-780129.6874779422	-86386.64589822247	-550.8014211442622
1.50715313130256e15	-1.5720670958038975e7	4.018980601575373e6	2.337547254704689e8	-6.6813013596462436e7	-6.673544929492373e6	-4.345004510796477e6	21627.302363390925
-1.3858967688566832e15	7.505917127982733e6	-1.6267875276741576e6	-6.6813013596462406e7	4.013960406946688e7	6.136263986280328e6	2.0513585959246526e6	-15703.112651796933
-6.627413935153695e14	809218.3412391293	-780129.6874779421	-6.673544929492373e6	6.136263986280329e6	2.944099469860504e6	204325.27689157784	404.5709395837287
-4.6130602562718055e13	432149.3049645342	-86386.64589822247	-4.345004510796478e6	2.0513585959246533e6	204325.2768915778	119333.3632707187	-867.5261979628374
-9.13817385655238e10	-3100.198522385438	-550.8014211442622	21627.302363390925	-15703.112651796933	404.5709395837288	-867.5261979628377	11.415143729716098
