A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.4964845112116308e23	-1.8396627263169222e14	1.7603035185689944e14	1.5219602587630318e15	-1.3983021634350205e15	-6.707488594696016e14	-4.30337321294327e13	6.063657438294164e11
-1.8396627263169212e14	1.569204357008864e6	-330265.2754722804	-1.5715192719758846e7	7.573746570777388e6	825205.6636636555	430060.18908151303	-10161.93264563242
1.7603035185689947e14	-330265.2754722804	403554.1110375294	4.0320364291609125e6	-1.6481681255444407e6	-791184.3064709331	-81284.35223825593	633.7179633018424
1.5219602587630315e15	-1.5715192719758846e7	4.032036429160913e6	2.3339009406019646e8	-6.739794013918363e7	-6.823559918410849e6	-4.308874454446327e6	90998.17010539694
-1.3983021634350205e15	7.573746570777387e6	-1.6481681255444407e6	-6.739794013918361e7	4.075887229923876e7	6.268605308250053e6	2.049941134242083e6	-49885.569591580715
-6.707488594696016e14	825205.6636636554	-791184.3064709331	-6.823559918410852e6	6.268605308250054e6	3.016722722157589e6	192994.17268552427	-2718.6295101745422
-4.303373212943271e13	430060.18908151303	-81284.35223825593	-4.308874454446328e6	2.049941134242083e6	192994.1726855243	118492.19668152927	-2825.122673672437
6.063657438294165e11	-10161.93264563242	633.7179633018425	90998.17010539694	-49885.56959158071	-2718.6295101745422	-2825.1226736724375	73.73364150630347
