A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.239294909767387e23	-1.6549834879749565e15	1.5373840864498145e15	4.0394305815054264e16	-7.701284662780503e15	-3.1457433582031135e15	-4.56587409570256e14	-4.461318033147298e13
-1.6549834879749568e15	3.581746927040246e7	-4.497559982627835e6	-3.6667485078994936e8	1.5350356051151314e8	7.217456515631223e6	1.0011044257754495e7	842428.2973373652
1.5373840864498145e15	-4.497559982627835e6	4.204214697504304e6	1.2384343991654547e8	-1.885432087716659e7	-6.738651852485027e6	-1.2211055775416472e6	-108872.9887896585
4.0394305815054264e16	-3.666748507899492e8	1.2384343991654547e8	6.78338718469985e9	-1.5654169883995314e9	-1.8033348785248753e8	-1.0052919542867148e8	-8.468998181238584e6
-7.701284662780502e15	1.5350356051151314e8	-1.885432087716659e7	-1.5654169883995314e9	6.956164760825036e8	3.628753504934979e7	4.1871387296319686e7	3.602880268622583e6
-3.1457433582031135e15	7.217456515631223e6	-6.738651852485027e6	-1.8033348785248753e8	3.628753504934979e7	1.393569919105668e7	1.893586648923901e6	191049.89934460662
-4.56587409570256e14	1.0011044257754494e7	-1.2211055775416472e6	-1.005291954286715e8	4.1871387296319686e7	1.8935866489239011e6	2.836317127767946e6	236690.7690239285
-4.461318033147299e13	842428.2973373652	-108872.9887896585	-8.468998181238584e6	3.6028802686225832e6	191049.8993446066	236690.7690239285	20218.846645748912
