A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.5054987413279848e23	-1.806084115051657e14	1.77283602200892e14	1.4682875339179685e15	-1.2225093769582018e15	-6.748869010557974e14	-6.7434199409801805e13	-1.8723457617302453e13
-1.8060841150516575e14	1.5682935007130292e6	-326950.3577717812	-1.5730755666727232e7	6.617594044127235e6	810143.6409704925	455672.4917119072	106115.22514055487
1.77283602200892e14	-326950.3577717812	405636.5338160022	3.995465647532747e6	-1.4408042780955948e6	-796819.3252758941	-109813.56465769482	-21890.210891702296
1.4682875339179682e15	-1.5730755666727234e7	3.9954656475327476e6	2.3359282930617553e8	-5.8870786165287316e7	-6.580089576241648e6	-4.510969389397229e6	-953200.5436533456
-1.2225093769582018e15	6.617594044127235e6	-1.4408042780955946e6	-5.88707861652873e7	3.1241492814347364e7	5.481247125927859e6	1.9797341334075865e6	497321.4451875379
-6.748869010557974e14	810143.6409704925	-796819.3252758943	-6.580089576241648e6	5.481247125927859e6	3.0357258759076456e6	302385.22399052285	83947.6803298245
-6.74341994098018e13	455672.4917119072	-109813.56465769479	-4.510969389397229e6	1.9797341334075863e6	302385.22399052285	134250.11527654287	31640.919151717462
-1.8723457617302445e13	106115.22514055487	-21890.210891702296	-953200.5436533456	497321.44518753793	83947.68032982454	31640.919151717462	7930.182038155364
