A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.281750847974995e23	-1.7870114602927365e15	1.5485158425728972e15	4.131289316590797e16	-8.858215366474905e15	-3.1863780880264185e15	-4.965833094584154e14	5.559675617923566e12
-1.787011460292736e15	3.634553861796917e7	-4.793154370325114e6	-3.746335726732582e8	1.708357790170316e8	7.8710190529761575e6	1.0174590532398634e7	-316410.57459348335
1.5485158425728968e15	-4.793154370325112e6	4.234706120397039e6	1.2592098172806334e8	-2.1637050475422855e7	-6.838176692485642e6	-1.3168474392792827e6	13627.253853820392
4.131289316590795e16	-3.746335726732581e8	1.2592098172806333e8	6.886729841097997e9	-1.7607947419651055e9	-1.8738522696454498e8	-1.0293130029466172e8	2.612012762488419e6
-8.858215366474906e15	1.708357790170316e8	-2.1637050475422855e7	-1.7607947419651058e9	8.54461683010561e8	4.276464726524301e7	4.6383016277787134e7	-1.5323546920407554e6
-3.1863780880264185e15	7.8710190529761575e6	-6.838176692485642e6	-1.8738522696454495e8	4.2764647265243e7	1.4296783167107727e7	2.0563231242510532e6	-27314.875231405553
-4.965833094584155e14	1.0174590532398636e7	-1.3168474392792827e6	-1.0293130029466172e8	4.6383016277787134e7	2.0563231242510537e6	2.900202489219594e6	-87598.7135678694
5.559675617923567e12	-316410.57459348335	13627.253853820393	2.612012762488419e6	-1.5323546920407554e6	-27314.87523140556	-87598.71356786942	3012.463927875461
