A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.238627568914132e23	-1.6476905451383372e15	1.5376319234466515e15	4.053985663953489e16	-7.234769172802283e15	-3.1951610926637855e15	-5.559312517745136e14	-1.1814082522503111e14
-1.647690545138337e15	3.587880401522687e7	-4.483808187277573e6	-3.672184144695719e8	1.432565831634824e8	7.29434830865308e6	1.0251613140998432e7	2.3199300313010863e6
1.5376319234466515e15	-4.483808187277573e6	4.20582607411269e6	1.2427909517347555e8	-1.7730884208063994e7	-6.849208427187944e6	-1.429724695834617e6	-287789.0772375833
4.053985663953489e16	-3.672184144695719e8	1.2427909517347553e8	6.796276676476954e9	-1.4581339740209513e9	-1.8310394339323747e8	-1.0641527568975843e8	-2.3307822109226514e7
-7.234769172802283e15	1.432565831634824e8	-1.7730884208063994e7	-1.4581339740209513e9	6.017115666313491e8	3.421760102013856e7	4.028860396203142e7	9.477290844082844e6
-3.1951610926637865e15	7.29434830865308e6	-6.849208427187943e6	-1.8310394339323747e8	3.421760102013856e7	1.4337364019151265e7	2.3837047880742014e6	534608.1656952254
-5.559312517745137e14	1.0251613140998436e7	-1.4297246958346171e6	-1.0641527568975842e8	4.028860396203142e7	2.383704788074201e6	2.967172090023848e6	660573.6137802971
-1.181408252250311e14	2.3199300313010863e6	-287789.07723758323	-2.3307822109226514e7	9.477290844082844e6	534608.1656952255	660573.6137802972	152761.8564772345
