A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.27832210016503e23	-1.7830561359463988e15	1.5475559976665825e15	4.126660700149984e16	-8.83330563495236e15	-3.1843223934868415e15	-4.941780575370812e14	4.870043876491349e12
-1.7830561359463988e15	3.631507846213441e7	-4.784040330364298e6	-3.742667085244474e8	1.7058305810457572e8	7.850513074450724e6	1.0129583143545926e7	-302518.4853184148
1.5475559976665825e15	-4.784040330364297e6	4.232040297469555e6	1.2579279219803841e8	-2.157419947603208e7	-6.831578663152906e6	-1.3020682554560406e6	11849.830542113637
4.126660700149985e16	-3.7426670852444744e8	1.2579279219803838e8	6.880267789992611e9	-1.7575681174185982e9	-1.8707795833966762e8	-1.018251374529519e8	2.4745300829815133e6
-8.83330563495236e15	1.7058305810457575e8	-2.157419947603208e7	-1.757568117418598e9	8.526149918149183e8	4.262662525575698e7	4.616023715809197e7	-1.4685788277678792e6
-3.184322393486842e15	7.850513074450722e6	-6.831578663152906e6	-1.870779583396676e8	4.262662525575698e7	1.4283701543216927e7	2.0453251973643317e6	-24490.178861629698
-4.941780575370811e14	1.0129583143545927e7	-1.3020682554560406e6	-1.018251374529519e8	4.616023715809198e7	2.0453251973643322e6	2.8767180574094686e6	-83419.0987697852
4.87004387649135e12	-302518.4853184149	11849.83054211364	2.4745300829815133e6	-1.4685788277678792e6	-24490.17886162969	-83419.0987697852	2780.392336237256
