A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.238350672068973e23	-1.648302732924135e15	1.537097569653035e15	4.0160838839955224e16	-7.420193219354212e15	-3.1293494328103665e15	-4.641513735179714e14	-3.027039939311931e12
-1.6483027329241355e15	3.561239477872705e7	-4.478338992086559e6	-3.6436104817750317e8	1.5075077642374828e8	7.162271765105156e6	9.969350226413144e6	3556.7015509213106
1.5370975696530352e15	-4.478338992086558e6	4.20214375074358e6	1.2316886750449902e8	-1.8216174569114808e7	-6.706324977643141e6	-1.2349461582568479e6	-7827.35780528154
4.0160838839955224e16	-3.643610481775032e8	1.2316886750449899e8	6.765417757307781e9	-1.5429047600244105e9	-1.799204340579367e8	-9.976540885108493e7	-169321.31227873333
-7.420193219354213e15	1.5075077642374828e8	-1.8216174569114804e7	-1.5429047600244105e9	6.802262473295428e8	3.5554624091757156e7	4.093585907037109e7	-15629.066018981102
-3.1293494328103665e15	7.162271765105157e6	-6.7063249776431415e6	-1.799204340579367e8	3.555462409175715e7	1.3867839368509239e7	1.890718543466129e6	10437.614613222853
-4.641513735179714e14	9.969350226413146e6	-1.2349461582568474e6	-9.976540885108492e7	4.093585907037109e7	1.8907185434661289e6	2.8399883817565567e6	2015.661429669768
-3.027039939311931e12	3556.7015509213093	-7827.35780528154	-169321.31227873333	-15629.066018981108	10437.614613222853	2015.6614296697678	40.40145468221735
