A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.246721492333655e23	-1.667282094906323e15	1.5396218735785558e15	4.029294761309175e16	-7.505663222221959e15	-3.1688411032109155e15	-4.7251673969818375e14	7.672397403946312e11
-1.667282094906323e15	3.570526263618411e7	-4.521785878742628e6	-3.654355538990833e8	1.518007506696021e8	7.329789079745452e6	1.0025194310151014e7	-86761.77234132835
1.5396218735785558e15	-4.521785878742628e6	4.209009272221745e6	1.2348460740199326e8	-1.843326490332778e7	-6.794573404178601e6	-1.2548581493362142e6	1836.2958846619558
4.029294761309175e16	-3.654355538990834e8	1.2348460740199324e8	6.776421362180158e9	-1.5550228861445985e9	-1.8274340008986878e8	-1.0018603195801678e8	680860.4579406099
-7.505663222221959e15	1.518007506696021e8	-1.8433264903327785e7	-1.5550228861445985e9	6.884271661010715e8	3.64568953783632e7	4.130472932691181e7	-384856.75141117646
-3.1688411032109155e15	7.329789079745449e6	-6.794573404178603e6	-1.827434000898688e8	3.64568953783632e7	1.4215035424791705e7	1.9444939637262218e6	-4543.9600738514
-4.7251673969818375e14	1.0025194310151016e7	-1.2548581493362142e6	-1.001860319580168e8	4.13047293269118e7	1.9444939637262211e6	2.8664060055088955e6	-23930.033879113056
7.672397403946313e11	-86761.77234132835	1836.295884661956	680860.4579406097	-384856.75141117646	-4543.960073851396	-23930.033879113056	239.58321797996186
