A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.237315681670743e23	-1.6382210141677668e15	1.5368826849437865e15	4.014296344122905e16	-7.358700705129813e15	-3.131380243218631e15	-4.535998380598738e14	-8.634730362962616e12
-1.6382210141677665e15	3.560017917971869e7	-4.4564290144944405e6	-3.6402029958995044e8	1.4959408019473538e8	7.1200087482631495e6	9.963681302987603e6	139665.67618669177
1.5368826849437862e15	-4.456429014494441e6	4.201583112146237e6	1.2313946587065133e8	-1.8068586674487e7	-6.7096786534307925e6	-1.2115524311186897e6	-21460.669814082128
4.014296344122905e16	-3.640202995899505e8	1.231394658706513e8	6.761253699326911e9	-1.5295654597906578e9	-1.796612395280172e8	-9.954461458013654e7	-1.4460096445651443e6
-7.358700705129812e15	1.4959408019473538e8	-1.8068586674487e7	-1.5295654597906573e9	6.692573017960273e8	3.516260194003539e7	4.064368896300652e7	553151.4416987492
-3.1313802432186315e15	7.12000874826315e6	-6.709678653430792e6	-1.7966123952801716e8	3.516260194003539e7	1.3874199348400928e7	1.850037649689745e6	34037.24910377422
-4.535998380598738e14	9.963681302987605e6	-1.2115524311186897e6	-9.954461458013654e7	4.0643688963006526e7	1.850037649689745e6	2.8363522574822726e6	40399.95415093021
-8.634730362962612e12	139665.67618669177	-21460.66981408214	-1.4460096445651443e6	553151.4416987491	34037.249103774215	40399.95415093021	605.7795130155208
