A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.4932265575894423e23	-1.8063413056822122e14	1.756413798872794e14	1.4929515540956202e15	-1.2938642001219245e15	-6.692632262238356e14	-4.41112621555515e13	2.0139473299716373e11
-1.8063413056822128e14	1.5605076641587082e6	-325817.7909555769	-1.5658805578992061e7	7.031227984617841e6	810191.2364006959	427583.9864576563	-3755.9044174496885
1.756413798872794e14	-325817.7909555769	402543.31829924224	3.9978013591164337e6	-1.5228622616819204e6	-789411.9195989579	-82618.85076181433	169.15205607261444
1.4929515540956202e15	-1.5658805578992061e7	3.9978013591164327e6	2.3310238088000202e8	-6.26335332230049e7	-6.692606404973243e6	-4.291123686292347e6	33192.182895241436
-1.293864200121925e15	7.031227984617843e6	-1.5228622616819204e6	-6.26335332230049e7	3.538014467054183e7	5.800080827680685e6	1.908998270796799e6	-17284.51224067415
-6.692632262238358e14	810191.2364006959	-789411.9195989578	-6.692606404973246e6	5.800080827680685e6	3.0099602054489437e6	197807.24093599044	-902.7660698564974
-4.41112621555515e13	427583.9864576562	-82618.85076181433	-4.2911236862923475e6	1.908998270796799e6	197807.24093599044	117425.99574438589	-1040.6189561436222
2.0139473299716373e11	-3755.9044174496885	169.1520560726144	33192.182895241436	-17284.512240674154	-902.7660698564973	-1040.6189561436222	10.372393697016397
