omega_b	omega_cdm	n_s	A_s	tau_reio	h	T_ncdm
6.189418440573467e9	-1.0976864920589797e9	1.1176343351054946e8	3.4833445753653296e16	-1.5652506367201242e8	-3.090085079494062e8	-6.293090716025864e7
-1.0976864920589797e9	3.928314792964548e8	-1.1801083678200072e7	-4.580042385416291e15	2.1953642375110216e7	1.0366181912457839e8	1.7077995607757963e7
1.1176343351054946e8	-1.1801083678200074e7	3.9668951322564017e6	1.4251453417173112e15	-6.321481343821546e6	-3.2664113021127526e6	-1.001091675368751e6
3.48334457536533e16	-4.580042385416291e15	1.425145341717311e15	6.551719729525743e23	-2.8808720674601385e15	-1.0998142961437966e15	-3.7483996581923325e14
-1.5652506367201236e8	2.1953642375110216e7	-6.321481343821546e6	-2.8808720674601385e15	1.2874665036882108e7	4.829104997461037e6	1.4965064315491542e6
-3.0900850794940615e8	1.0366181912457839e8	-3.266411302112752e6	-1.0998142961437966e15	4.829104997461036e6	2.9104301524946664e7	5.205337421461737e6
-6.293090716025866e7	1.7077995607757963e7	-1.0010916753687513e6	-3.748399658192334e14	1.4965064315491547e6	5.205337421461737e6	1.1366173954973794e6
