omega_b	omega_cdm	n_s	A_s	tau_reio	h	T_ncdm
2.3583882362475476e8	-5.60212993893415e7	4.171725412170404e6	1.5706928308643808e15	-7.004108184141776e6	-1.5566041389315521e7	-517102.90351337293
-5.602129938934151e7	2.768917263952388e7	-1.4003810786434424e6	-1.1591756111691248e15	5.169035485221888e6	6.09730020539989e6	69905.77600202263
4.171725412170404e6	-1.4003810786434424e6	408180.8995720445	1.7735550440194353e14	-792888.1826626378	-329398.5547028582	-39532.931434430066
1.570692830864381e15	-1.1591756111691245e15	1.7735550440194356e14	1.4682458551000781e23	-6.545929125717898e14	-1.797904544171472e14	-1.6851365201099654e13
-7.004108184141777e6	5.169035485221887e6	-792888.1826626378	-6.545929125717898e14	2.928709073734867e6	802180.5951735943	75139.83336256763
-1.556604138931552e7	6.0973002053998895e6	-329398.5547028582	-1.7979045441714722e14	802180.5951735942	1.5063078510633707e6	20574.150543852145
-517102.903513373	69905.77600202263	-39532.931434430066	-1.6851365201099652e13	75139.83336256762	20574.150543852145	5021.352989408187
