omega_b	omega_cdm	n_s	A_s	tau_reio	h	T_ncdm
2.357950051349294e8	-6.070150313727874e7	4.279701896399143e6	1.7005819262212948e15	-7.590988644075297e6	-1.5984619669586997e7	1.567733685959766e6
-6.070150313727874e7	3.2032574569401972e7	-1.5409223948068954e6	-1.2967251797167692e15	5.787949986491429e6	6.782900104360102e6	-860317.9826507715
4.279701896399144e6	-1.5409223948068954e6	410818.95694126136	1.781619723504274e14	-797246.6160906664	-355385.2198817602	-5541.72771912349
1.7005819262212948e15	-1.2967251797167698e15	1.781619723504274e14	1.5077386374579324e23	-6.728341825894211e14	-2.018918261007277e14	7.261773388631586e12
-7.590988644075297e6	5.787949986491429e6	-797246.6160906665	-6.728341825894211e14	3.012868694225035e6	901621.8149837672	-32414.176114399295
-1.5984619669586997e7	6.782900104360102e6	-355385.2198817602	-2.0189182610072778e14	901621.8149837675	1.5946288614781273e6	-193842.35458301424
1.5677336859597655e6	-860317.9826507717	-5541.72771912349	7.261773388631587e12	-32414.176114399317	-193842.35458301427	32245.909193609103
