A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
1.4932438041308034e23	-1.8071115935570944e14	1.7565025013724147e14	1.4985117228171335e15	-1.2936282565184095e15	-6.692212675911951e14	-4.446567809712356e13	2.038122221804488e11
-1.8071115935570947e14	1.5605447555604952e6	-325925.63718001056	-1.5667040630720751e7	7.03042280856873e6	810510.6847892319	428391.29782837	-3842.6174032008707
1.7565025013724153e14	-325925.6371800106	402556.2615625599	4.0060903898090073e6	-1.5225868149120838e6	-789374.3119895027	-83161.66451529811	174.6296737840623
1.4985117228171335e15	-1.5667040630720751e7	4.006090389809007e6	2.3326083839500496e8	-6.266084181175745e7	-6.717073234530748e6	-4.284192187983569e6	34054.46189039311
-1.2936282565184095e15	7.030422808568731e6	-1.5225868149120838e6	-6.266084181175745e7	3.5369057309215404e7	5.798767091955026e6	1.9132429264770385e6	-17659.872862641394
-6.69221267591195e14	810510.6847892319	-789374.311989503	-6.717073234530748e6	5.798767091955027e6	3.0095493311476554e6	199391.3576830677	-913.6853099378882
-4.446567809712356e13	428391.29782836995	-83161.66451529814	-4.284192187983569e6	1.9132429264770383e6	199391.3576830677	117876.63234108637	-1066.707955674413
2.038122221804486e11	-3842.6174032008707	174.62967378406225	34054.46189039311	-17659.872862641394	-913.6853099378882	-1066.707955674413	10.843583390654318
