A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.245516207063579e23	-1.6827757252490118e15	1.5381839328637578e15	4.064149794690209e16	-8.233871888273288e15	-3.15401445353178e15	-4.7822615106157275e14	-4.495422790424926e13
-1.6827757252490115e15	3.598609118705815e7	-4.560229725308109e6	-3.6910713707300544e8	1.6160075088763595e8	7.351394171206954e6	1.0103297486726439e7	806479.193929878
1.5381839328637575e15	-4.560229725308109e6	4.206921786066082e6	1.2442180251498145e8	-2.0081837170685373e7	-6.752297122541878e6	-1.278595050075779e6	-110301.81573185313
4.064149794690209e16	-3.6910713707300544e8	1.2442180251498143e8	6.809515368254596e9	-1.6487953778330305e9	-1.8139722598056397e8	-1.0244847445849699e8	-8.218320205623185e6
-8.233871888273286e15	1.61600750887636e8	-2.0081837170685373e7	-1.6487953778330305e9	7.656578395141947e8	3.862927673307753e7	4.4352091940819696e7	3.562763626265589e6
-3.15401445353178e15	7.351394171206953e6	-6.752297122541876e6	-1.8139722598056397e8	3.8629276733077526e7	1.3978448697747117e7	1.9993806854578757e6	189010.75963215798
-4.782261510615729e14	1.0103297486726442e7	-1.278595050075779e6	-1.0244847445849697e8	4.4352091940819696e7	1.9993806854578755e6	2.871523187699874e6	229143.8089642755
-4.4954227904249266e13	806479.193929878	-110301.81573185312	-8.218320205623186e6	3.562763626265589e6	189010.75963215798	229143.8089642755	18658.505173640533
