A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.290258562572534e23	-1.8112792514051582e15	1.5506798622383005e15	4.1533866434220104e16	-9.126848165897408e15	-3.1908880597694005e15	-5.11315580443805e14	6.861091140440613e12
-1.8112792514051575e15	3.648339064750067e7	-4.84844077399817e6	-3.765924496891295e8	1.7452953527227506e8	7.982135559874376e6	1.0223456802166888e7	-364495.6632099107
1.5506798622383005e15	-4.848440773998171e6	4.2408619674239205e6	1.2644755993655127e8	-2.2274756728099387e7	-6.849829434470048e6	-1.3428564885902847e6	16835.472130381375
4.1533866434220104e16	-3.765924496891295e8	1.2644755993655126e8	6.9107003880023985e9	-1.8009119717132633e9	-1.8839788886948463e8	-1.0335920637823516e8	3.030199835434122e6
-9.126848165897408e15	1.7452953527227506e8	-2.2274756728099387e7	-1.8009119717132635e9	8.880400934505357e8	4.402376852308251e7	4.746380677597483e7	-1.794196292084404e6
-3.1908880597694005e15	7.982135559874374e6	-6.849829434470047e6	-1.8839788886948463e8	4.402376852308251e7	1.4319609990885964e7	2.123174053609408e6	-33324.49192826518
-5.11315580443805e14	1.0223456802166887e7	-1.3428564885902847e6	-1.0335920637823518e8	4.746380677597484e7	2.1231740536094075e6	2.915261471071206e6	-101043.83604728171
6.861091140440613e12	-364495.6632099107	16835.47213038138	3.030199835434122e6	-1.794196292084404e6	-33324.49192826519	-101043.83604728174	3966.3486084008578
