A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.241625770349921e23	-1.6536834207489018e15	1.5383850671493342e15	4.072855406014234e16	-7.26385785497394e15	-3.1994624211682805e15	-4.587041058018198e14	-1.2968360479741603e14
-1.6536834207489018e15	3.5942902168175265e7	-4.498645049773857e6	-3.682787716029067e8	1.435339788582127e8	7.325821116922623e6	1.006184139002861e7	2.539063266890823e6
1.5383850671493345e15	-4.498645049773855e6	4.2082161447011335e6	1.2471983081299645e8	-1.779094616156184e7	-6.85846728692583e6	-1.2318260571309556e6	-315713.8597395111
4.072855406014234e16	-3.682787716029067e8	1.2471983081299648e8	6.817396744874519e9	-1.4609111352762558e9	-1.8389494822741592e8	-1.0179439784232719e8	-2.5539917309417285e7
-7.26385785497394e15	1.4353397885821274e8	-1.7790946161561836e7	-1.460911135276256e9	6.020424780242348e8	3.426526191636061e7	3.939483205458371e7	1.0367369162056977e7
-3.1994624211682815e15	7.325821116922622e6	-6.858467286925829e6	-1.8389494822741592e8	3.426526191636061e7	1.4358181368462754e7	1.953479473908316e6	586442.4769844393
-4.587041058018199e14	1.006184139002861e7	-1.2318260571309556e6	-1.017943978423272e8	3.939483205458371e7	1.9534794739083156e6	2.8467137207197594e6	706045.5673738986
-1.2968360479741603e14	2.539063266890823e6	-315713.859739511	-2.5539917309417285e7	1.0367369162056977e7	586442.4769844393	706045.5673738988	182587.16076410463
