A_s	h	n_s	omega_b	omega_cdm	tau_reio	m_ncdm	N_ncdm
7.271080795732787e23	-1.7848675082232212e15	1.545313595170665e15	4.127050456383907e16	-8.994167081795124e15	-3.183632838493917e15	-5.018030388017971e14	2.4697276101149688e12
-1.7848675082232215e15	3.629981786571731e7	-4.786737481825601e6	-3.743327145907935e8	1.7302864274482077e8	7.865070168424839e6	1.015841626171579e7	-277578.26558672474
1.545313595170665e15	-4.786737481825601e6	4.226073859058205e6	1.2576265552803071e8	-2.1939250642834384e7	-6.826476405559553e6	-1.314803169820729e6	5528.8661293089535
4.127050456383907e16	-3.743327145907936e8	1.257626555280307e8	6.878487862620627e9	-1.7830060337592685e9	-1.8709237104304308e8	-1.0222482573011616e8	2.1668784305887017e6
-8.994167081795125e15	1.7302864274482077e8	-2.193925064283438e7	-1.7830060337592685e9	8.769466137968308e8	4.334055606015792e7	4.703049848350488e7	-1.3886869685483996e6
-3.183632838493917e15	7.865070168424841e6	-6.826476405559554e6	-1.870923710430431e8	4.3340556060157925e7	1.428296570075321e7	2.084844250579881e6	-15358.887041115291
-5.01803038801797e14	1.015841626171579e7	-1.3148031698207287e6	-1.0222482573011614e8	4.703049848350487e7	2.0848442505798808e6	2.891497500133929e6	-76173.71459386438
2.469727610114969e12	-277578.26558672474	5528.8661293089535	2.1668784305887017e6	-1.3886869685483996e6	-15358.887041115295	-76173.71459386438	2470.3973373127496
